"time","rep","training_site","infections","importations","testPositive"
1,355,"FB",1,0,8
1,355,"FLW",0,0,2
1,356,"FB",1,0,7
1,356,"FLW",0,0,2
1,357,"FB",1,0,11
1,357,"FLW",3,0,1
1,358,"FB",0,0,3
1,358,"FLW",0,0,1
1,359,"FB",1,0,6
1,359,"FLW",4,0,3
1,36,"FB",0,0,6
1,36,"FLW",0,0,4
1,360,"FB",0,0,5
1,360,"FLW",0,0,2
1,361,"FB",0,0,8
1,361,"FLW",0,0,2
1,362,"FB",1,0,7
1,362,"FLW",0,0,3
1,363,"FB",0,0,7
1,363,"FLW",0,0,7
1,364,"FB",1,0,3
1,364,"FLW",0,0,4
1,365,"FB",0,0,5
1,365,"FLW",0,0,6
1,366,"FB",0,0,9
1,366,"FLW",0,0,4
1,367,"FB",0,0,8
1,367,"FLW",0,0,2
1,368,"FB",0,0,5
1,368,"FLW",0,0,9
1,369,"FB",0,0,6
1,369,"FLW",0,0,5
1,37,"FB",0,0,10
1,37,"FLW",0,0,6
1,370,"FB",0,0,5
1,370,"FLW",0,0,4
1,371,"FB",0,0,12
1,371,"FLW",0,0,3
1,372,"FB",0,0,9
1,372,"FLW",0,0,5
1,373,"FB",1,0,5
1,373,"FLW",0,0,5
1,374,"FB",2,0,9
1,374,"FLW",0,0,4
1,375,"FB",0,0,4
1,375,"FLW",0,0,2
1,376,"FB",0,0,10
1,376,"FLW",0,0,2
1,377,"FB",0,0,6
1,377,"FLW",0,0,3
1,378,"FB",0,0,4
1,378,"FLW",0,0,6
1,379,"FB",1,0,7
1,379,"FLW",3,0,2
1,38,"FB",3,0,7
1,38,"FLW",0,0,7
1,380,"FB",0,0,11
1,380,"FLW",0,0,9
1,381,"FB",0,0,3
1,381,"FLW",0,0,7
1,382,"FB",0,0,5
1,382,"FLW",0,0,2
1,383,"FB",0,0,7
1,383,"FLW",2,0,4
1,384,"FB",2,0,6
1,384,"FLW",0,0,2
1,385,"FB",0,0,6
1,385,"FLW",0,0,4
1,386,"FB",1,0,8
1,386,"FLW",0,0,4
1,387,"FB",0,0,9
1,387,"FLW",0,0,4
1,388,"FB",0,0,6
1,388,"FLW",0,0,1
1,389,"FB",0,0,7
1,389,"FLW",0,0,2
1,39,"FB",0,0,10
1,39,"FLW",0,0,1
1,390,"FB",0,0,9
1,390,"FLW",0,0,2
1,391,"FB",1,0,6
1,391,"FLW",0,0,4
1,392,"FB",1,0,8
1,392,"FLW",1,0,4
1,393,"FB",0,0,5
1,393,"FLW",0,0,3
1,394,"FB",1,0,5
1,394,"FLW",4,0,3
1,395,"FB",1,0,10
1,395,"FLW",1,0,3
1,396,"FB",1,0,4
1,396,"FLW",0,0,6
1,397,"FB",2,0,6
1,397,"FLW",2,0,6
1,398,"FB",0,0,6
1,398,"FLW",0,0,3
1,399,"FB",0,0,10
1,399,"FLW",0,0,3
1,4,"FB",1,1,9
1,4,"FLW",0,0,3
1,40,"FB",4,1,5
1,40,"FLW",1,1,6
1,400,"FB",1,0,13
1,400,"FLW",0,0,2
1,401,"FB",0,0,12
1,401,"FLW",2,0,6
1,402,"FB",0,0,4
1,402,"FLW",0,0,2
1,403,"FB",1,0,2
1,403,"FLW",0,0,2
1,404,"FB",5,0,6
1,404,"FLW",0,0,9
1,405,"FB",0,0,7
1,405,"FLW",0,0,4
1,406,"FB",0,0,4
1,406,"FLW",1,0,4
1,407,"FB",4,0,8
