"rep","importation","facemask","infections"
67,3,"0.4",761
68,3,"0.4",881
69,3,"0.4",490
70,3,"0.4",331
71,3,"0.4",850
72,3,"0.4",449
73,3,"0.4",818
74,3,"0.4",943
75,3,"0.4",450
76,3,"0.4",884
77,3,"0.4",905
78,3,"0.4",180
79,3,"0.4",929
80,3,"0.4",365
81,3,"0.4",930
82,3,"0.4",278
83,3,"0.4",703
84,3,"0.4",663
85,3,"0.4",371
86,3,"0.4",906
87,3,"0.4",319
88,3,"0.4",785
89,3,"0.4",524
90,3,"0.4",524
91,3,"0.4",875
92,3,"0.4",955
93,3,"0.4",595
94,3,"0.4",733
95,3,"0.4",477
96,3,"0.4",255
97,3,"0.4",727
98,3,"0.4",522
99,3,"0.4",589
100,3,"0.4",777
1,1,"0.6",0
2,1,"0.6",2
3,1,"0.6",0
4,1,"0.6",183
5,1,"0.6",371
6,1,"0.6",308
7,1,"0.6",0
8,1,"0.6",2
9,1,"0.6",176
10,1,"0.6",0
11,1,"0.6",2
12,1,"0.6",4
13,1,"0.6",172
14,1,"0.6",326
15,1,"0.6",1
16,1,"0.6",0
17,1,"0.6",0
18,1,"0.6",4
19,1,"0.6",170
20,1,"0.6",0
21,1,"0.6",3
22,1,"0.6",1
23,1,"0.6",0
24,1,"0.6",0
25,1,"0.6",148
26,1,"0.6",167
27,1,"0.6",7
28,1,"0.6",0
29,1,"0.6",4
30,1,"0.6",1
31,1,"0.6",0
32,1,"0.6",4
33,1,"0.6",0
34,1,"0.6",178
35,1,"0.6",0
36,1,"0.6",2
37,1,"0.6",0
38,1,"0.6",0
39,1,"0.6",332
40,1,"0.6",0
41,1,"0.6",156
42,1,"0.6",5
43,1,"0.6",0
44,1,"0.6",0
45,1,"0.6",0
46,1,"0.6",0
47,1,"0.6",1
48,1,"0.6",1
49,1,"0.6",151
50,1,"0.6",0
51,1,"0.6",0
52,1,"0.6",189
53,1,"0.6",146
54,1,"0.6",0
55,1,"0.6",1
56,1,"0.6",155
57,1,"0.6",154
58,1,"0.6",1
59,1,"0.6",164
60,1,"0.6",164
61,1,"0.6",0
62,1,"0.6",8
63,1,"0.6",2
64,1,"0.6",107
65,1,"0.6",0
66,1,"0.6",0
67,1,"0.6",362
68,1,"0.6",0
69,1,"0.6",3
70,1,"0.6",2
71,1,"0.6",0
72,1,"0.6",100
73,1,"0.6",0
74,1,"0.6",0
75,1,"0.6",0
76,1,"0.6",185
77,1,"0.6",0
78,1,"0.6",4
79,1,"0.6",1
80,1,"0.6",1
81,1,"0.6",10
82,1,"0.6",0
83,1,"0.6",2
84,1,"0.6",150
85,1,"0.6",0
86,1,"0.6",1
87,1,"0.6",0
88,1,"0.6",0
89,1,"0.6",1
90,1,"0.6",0
91,1,"0.6",0
92,1,"0.6",4
93,1,"0.6",0
94,1,"0.6",0
95,1,"0.6",1
96,1,"0.6",137
97,1,"0.6",77
98,1,"0.6",159
99,1,"0.6",3
100,1,"0.6",1
1,2,"0.6",1
2,2,"0.6",1
3,2,"0.6",474
4,2,"0.6",141
5,2,"0.6",10
6,2,"0.6",1
7,2,"0.6",460
8,2,"0.6",171
9,2,"0.6",149
10,2,"0.6",0
11,2,"0.6",3
12,2,"0.6",13
13,2,"0.6",0
14,2,"0.6",0
15,2,"0.6",137
16,2,"0.6",0
17,2,"0.6",170
18,2,"0.6",17
19,2,"0.6",17
20,2,"0.6",27
21,2,"0.6",2
22,2,"0.6",0
23,2,"0.6",58
24,2,"0.6",158
25,2,"0.6",189
26,2,"0.6",4
27,2,"0.6",0
28,2,"0.6",26
29,2,"0.6",179
30,2,"0.6",0
31,2,"0.6",317
32,2,"0.6",144
33,2,"0.6",165
34,2,"0.6",61
35,2,"0.6",8
36,2,"0.6",0
37,2,"0.6",19
38,2,"0.6",463
39,2,"0.6",0
40,2,"0.6",0
41,2,"0.6",10
42,2,"0.6",157
43,2,"0.6",2
44,2,"0.6",171
45,2,"0.6",185
46,2,"0.6",80
47,2,"0.6",108
48,2,"0.6",3
49,2,"0.6",493
50,2,"0.6",2
51,2,"0.6",177
52,2,"0.6",194
53,2,"0.6",267
54,2,"0.6",0
55,2,"0.6",3
56,2,"0.6",0
57,2,"0.6",369
58,2,"0.6",1
59,2,"0.6",55
60,2,"0.6",159
61,2,"0.6",1
62,2,"0.6",10
63,2,"0.6",1
64,2,"0.6",111
65,2,"0.6",0
66,2,"0.6",9
67,2,"0.6",3
68,2,"0.6",0
69,2,"0.6",282
70,2,"0.6",228
71,2,"0.6",12
72,2,"0.6",3
73,2,"0.6",155
74,2,"0.6",175
75,2,"0.6",184
76,2,"0.6",341
77,2,"0.6",5
78,2,"0.6",434
79,2,"0.6",0
80,2,"0.6",1
81,2,"0.6",177
82,2,"0.6",227
83,2,"0.6",0
84,2,"0.6",0
85,2,"0.6",583
86,2,"0.6",120
87,2,"0.6",178
88,2,"0.6",360
89,2,"0.6",272
90,2,"0.6",78
91,2,"0.6",157
92,2,"0.6",2
93,2,"0.6",193
94,2,"0.6",4
95,2,"0.6",181
96,2,"0.6",180
97,2,"0.6",0
98,2,"0.6",587
99,2,"0.6",1
100,2,"0.6",267
1,3,"0.6",492
2,3,"0.6",678
3,3,"0.6",659
4,3,"0.6",691
5,3,"0.6",539
6,3,"0.6",367
7,3,"0.6",211
8,3,"0.6",171
9,3,"0.6",203
10,3,"0.6",704
11,3,"0.6",510
12,3,"0.6",599
13,3,"0.6",378
14,3,"0.6",585
15,3,"0.6",514
16,3,"0.6",611
17,3,"0.6",668
18,3,"0.6",723
19,3,"0.6",366
20,3,"0.6",485
21,3,"0.6",601
22,3,"0.6",470
23,3,"0.6",487
24,3,"0.6",445
25,3,"0.6",674
26,3,"0.6",395
27,3,"0.6",315
28,3,"0.6",421
29,3,"0.6",752
30,3,"0.6",518
31,3,"0.6",682
32,3,"0.6",773
33,3,"0.6",764
34,3,"0.6",601
35,3,"0.6",462
36,3,"0.6",859
37,3,"0.6",549
38,3,"0.6",555
39,3,"0.6",503
40,3,"0.6",363
41,3,"0.6",336
42,3,"0.6",572
43,3,"0.6",465
44,3,"0.6",357
45,3,"0.6",324
46,3,"0.6",416
47,3,"0.6",703
48,3,"0.6",659
49,3,"0.6",669
50,3,"0.6",548
51,3,"0.6",296
52,3,"0.6",348
53,3,"0.6",434
54,3,"0.6",452
55,3,"0.6",651
56,3,"0.6",548
57,3,"0.6",462
58,3,"0.6",28
59,3,"0.6",762
60,3,"0.6",580
61,3,"0.6",910
62,3,"0.6",499
63,3,"0.6",470
64,3,"0.6",535
65,3,"0.6",534
66,3,"0.6",626
67,3,"0.6",859
68,3,"0.6",593
69,3,"0.6",253
70,3,"0.6",829
71,3,"0.6",512
72,3,"0.6",408
73,3,"0.6",266
74,3,"0.6",412
75,3,"0.6",690
76,3,"0.6",332
77,3,"0.6",651
78,3,"0.6",480
79,3,"0.6",402
80,3,"0.6",489
81,3,"0.6",381
82,3,"0.6",540
83,3,"0.6",479
84,3,"0.6",604
85,3,"0.6",171
86,3,"0.6",301
87,3,"0.6",320
88,3,"0.6",796
89,3,"0.6",384
90,3,"0.6",260
91,3,"0.6",188
92,3,"0.6",722
93,3,"0.6",217
94,3,"0.6",783
95,3,"0.6",371
96,3,"0.6",651
97,3,"0.6",168
98,3,"0.6",797
99,3,"0.6",353
100,3,"0.6",183
1,1,"0.8",6
2,1,"0.8",1
3,1,"0.8",7
4,1,"0.8",2
5,1,"0.8",0
6,1,"0.8",77
7,1,"0.8",0
8,1,"0.8",0
9,1,"0.8",1
10,1,"0.8",0
11,1,"0.8",0
12,1,"0.8",0
13,1,"0.8",2
14,1,"0.8",0
15,1,"0.8",0
16,1,"0.8",1
17,1,"0.8",0
18,1,"0.8",0
19,1,"0.8",1
20,1,"0.8",0
21,1,"0.8",0
22,1,"0.8",15
23,1,"0.8",1
24,1,"0.8",0
25,1,"0.8",283
26,1,"0.8",0
27,1,"0.8",105
28,1,"0.8",0
29,1,"0.8",0
30,1,"0.8",1
31,1,"0.8",0
32,1,"0.8",142
33,1,"0.8",0
34,1,"0.8",2
35,1,"0.8",3
36,1,"0.8",4
37,1,"0.8",155
38,1,"0.8",4
39,1,"0.8",0
40,1,"0.8",0
41,1,"0.8",120
42,1,"0.8",0
43,1,"0.8",1
44,1,"0.8",14
45,1,"0.8",0
46,1,"0.8",162
47,1,"0.8",0
48,1,"0.8",128
49,1,"0.8",0
50,1,"0.8",3
51,1,"0.8",7
52,1,"0.8",1
53,1,"0.8",187
54,1,"0.8",0
55,1,"0.8",2
56,1,"0.8",23
57,1,"0.8",9
58,1,"0.8",0
59,1,"0.8",124
60,1,"0.8",2
61,1,"0.8",3
62,1,"0.8",2
63,1,"0.8",8
64,1,"0.8",103
65,1,"0.8",0
66,1,"0.8",176
67,1,"0.8",136
68,1,"0.8",0
69,1,"0.8",0
70,1,"0.8",0
71,1,"0.8",5
72,1,"0.8",0
73,1,"0.8",0
74,1,"0.8",0
75,1,"0.8",4
76,1,"0.8",17
77,1,"0.8",0
78,1,"0.8",1
79,1,"0.8",291
80,1,"0.8",0
81,1,"0.8",0
82,1,"0.8",3
83,1,"0.8",1
84,1,"0.8",1
85,1,"0.8",7
86,1,"0.8",129
87,1,"0.8",103
88,1,"0.8",2
89,1,"0.8",0
90,1,"0.8",130
91,1,"0.8",0
92,1,"0.8",0
93,1,"0.8",1
94,1,"0.8",0
95,1,"0.8",0
96,1,"0.8",0
97,1,"0.8",0
98,1,"0.8",0
99,1,"0.8",0
100,1,"0.8",149
1,2,"0.8",1
2,2,"0.8",0
3,2,"0.8",158
4,2,"0.8",2
5,2,"0.8",6
6,2,"0.8",1
7,2,"0.8",106
8,2,"0.8",35
9,2,"0.8",0
10,2,"0.8",7
11,2,"0.8",6
12,2,"0.8",2
13,2,"0.8",0
14,2,"0.8",133
15,2,"0.8",336
16,2,"0.8",218
