"time","rep","importation","facemask","infections"
39,14,1,"0",3
40,14,1,"0",6
41,14,1,"0",2
42,14,1,"0",3
43,14,1,"0",1
44,14,1,"0",1
45,14,1,"0",0
46,14,1,"0",1
47,14,1,"0",0
48,14,1,"0",0
49,14,1,"0",0
50,14,1,"0",0
51,14,1,"0",0
52,14,1,"0",0
53,14,1,"0",0
54,14,1,"0",0
55,14,1,"0",0
56,14,1,"0",0
57,14,1,"0",0
58,14,1,"0",0
59,14,1,"0",0
60,14,1,"0",0
61,14,1,"0",0
62,14,1,"0",0
63,14,1,"0",0
64,14,1,"0",0
65,14,1,"0",0
66,14,1,"0",0
67,14,1,"0",0
68,14,1,"0",0
69,14,1,"0",0
70,14,1,"0",0
71,14,1,"0",0
72,14,1,"0",0
73,14,1,"0",0
1,15,1,"0",1
2,15,1,"0",1
3,15,1,"0",1
4,15,1,"0",1
5,15,1,"0",0
6,15,1,"0",1
7,15,1,"0",2
8,15,1,"0",1
9,15,1,"0",2
10,15,1,"0",4
11,15,1,"0",2
12,15,1,"0",2
13,15,1,"0",1
14,15,1,"0",1
15,15,1,"0",3
16,15,1,"0",2
17,15,1,"0",1
18,15,1,"0",2
19,15,1,"0",6
20,15,1,"0",5
21,15,1,"0",3
22,15,1,"0",9
23,15,1,"0",6
24,15,1,"0",8
25,15,1,"0",8
26,15,1,"0",10
27,15,1,"0",13
28,15,1,"0",17
29,15,1,"0",9
30,15,1,"0",18
31,15,1,"0",11
32,15,1,"0",14
33,15,1,"0",8
34,15,1,"0",14
35,15,1,"0",5
36,15,1,"0",5
37,15,1,"0",7
38,15,1,"0",1
39,15,1,"0",4
40,15,1,"0",2
41,15,1,"0",3
42,15,1,"0",1
43,15,1,"0",3
44,15,1,"0",1
45,15,1,"0",0
46,15,1,"0",0
47,15,1,"0",0
48,15,1,"0",0
49,15,1,"0",0
50,15,1,"0",0
51,15,1,"0",0
52,15,1,"0",0
53,15,1,"0",0
54,15,1,"0",0
55,15,1,"0",0
56,15,1,"0",0
57,15,1,"0",0
58,15,1,"0",0
59,15,1,"0",0
60,15,1,"0",0
61,15,1,"0",0
62,15,1,"0",0
63,15,1,"0",0
64,15,1,"0",0
65,15,1,"0",0
66,15,1,"0",0
67,15,1,"0",0
68,15,1,"0",0
69,15,1,"0",0
70,15,1,"0",0
71,15,1,"0",0
72,15,1,"0",0
73,15,1,"0",0
1,16,1,"0",0
2,16,1,"0",0
3,16,1,"0",1
4,16,1,"0",0
5,16,1,"0",0
6,16,1,"0",1
7,16,1,"0",0
8,16,1,"0",0
9,16,1,"0",0
10,16,1,"0",0
11,16,1,"0",0
12,16,1,"0",0
13,16,1,"0",1
14,16,1,"0",0
15,16,1,"0",0
16,16,1,"0",0
17,16,1,"0",0
18,16,1,"0",5
19,16,1,"0",3
20,16,1,"0",3
21,16,1,"0",3
22,16,1,"0",2
23,16,1,"0",5
24,16,1,"0",11
25,16,1,"0",9
26,16,1,"0",10
27,16,1,"0",5
28,16,1,"0",14
29,16,1,"0",15
30,16,1,"0",12
31,16,1,"0",14
32,16,1,"0",14
33,16,1,"0",15
34,16,1,"0",11
