"time","rep","importation","sim_scenario","infections"
44,4,1,"NoIntervention",0
45,4,1,"NoIntervention",0
46,4,1,"NoIntervention",0
47,4,1,"NoIntervention",0
48,4,1,"NoIntervention",0
49,4,1,"NoIntervention",0
50,4,1,"NoIntervention",0
51,4,1,"NoIntervention",0
52,4,1,"NoIntervention",0
53,4,1,"NoIntervention",0
54,4,1,"NoIntervention",0
55,4,1,"NoIntervention",0
56,4,1,"NoIntervention",0
57,4,1,"NoIntervention",0
58,4,1,"NoIntervention",0
59,4,1,"NoIntervention",0
60,4,1,"NoIntervention",0
61,4,1,"NoIntervention",0
62,4,1,"NoIntervention",0
63,4,1,"NoIntervention",0
64,4,1,"NoIntervention",0
65,4,1,"NoIntervention",0
66,4,1,"NoIntervention",0
67,4,1,"NoIntervention",0
68,4,1,"NoIntervention",0
69,4,1,"NoIntervention",0
70,4,1,"NoIntervention",0
71,4,1,"NoIntervention",0
72,4,1,"NoIntervention",0
73,4,1,"NoIntervention",0
1,5,1,"NoIntervention",1
2,5,1,"NoIntervention",2
3,5,1,"NoIntervention",4
4,5,1,"NoIntervention",2
5,5,1,"NoIntervention",4
6,5,1,"NoIntervention",4
7,5,1,"NoIntervention",5
8,5,1,"NoIntervention",9
9,5,1,"NoIntervention",4
10,5,1,"NoIntervention",4
11,5,1,"NoIntervention",4
12,5,1,"NoIntervention",7
13,5,1,"NoIntervention",3
14,5,1,"NoIntervention",3
15,5,1,"NoIntervention",11
16,5,1,"NoIntervention",12
17,5,1,"NoIntervention",9
18,5,1,"NoIntervention",15
19,5,1,"NoIntervention",22
20,5,1,"NoIntervention",20
21,5,1,"NoIntervention",22
22,5,1,"NoIntervention",22
23,5,1,"NoIntervention",31
24,5,1,"NoIntervention",41
25,5,1,"NoIntervention",32
26,5,1,"NoIntervention",29
27,5,1,"NoIntervention",25
28,5,1,"NoIntervention",17
29,5,1,"NoIntervention",23
30,5,1,"NoIntervention",17
31,5,1,"NoIntervention",13
32,5,1,"NoIntervention",6
33,5,1,"NoIntervention",7
34,5,1,"NoIntervention",4
35,5,1,"NoIntervention",0
36,5,1,"NoIntervention",4
37,5,1,"NoIntervention",1
38,5,1,"NoIntervention",3
39,5,1,"NoIntervention",2
40,5,1,"NoIntervention",0
41,5,1,"NoIntervention",0
42,5,1,"NoIntervention",0
43,5,1,"NoIntervention",1
44,5,1,"NoIntervention",0
45,5,1,"NoIntervention",0
46,5,1,"NoIntervention",1
47,5,1,"NoIntervention",0
48,5,1,"NoIntervention",0
49,5,1,"NoIntervention",0
50,5,1,"NoIntervention",0
51,5,1,"NoIntervention",0
52,5,1,"NoIntervention",0
53,5,1,"NoIntervention",0
54,5,1,"NoIntervention",0
55,5,1,"NoIntervention",0
56,5,1,"NoIntervention",0
57,5,1,"NoIntervention",1
58,5,1,"NoIntervention",1
59,5,1,"NoIntervention",0
60,5,1,"NoIntervention",2
61,5,1,"NoIntervention",4
62,5,1,"NoIntervention",5
63,5,1,"NoIntervention",3
64,5,1,"NoIntervention",6
65,5,1,"NoIntervention",10
66,5,1,"NoIntervention",5
67,5,1,"NoIntervention",10
68,5,1,"NoIntervention",12
69,5,1,"NoIntervention",20
70,5,1,"NoIntervention",14
71,5,1,"NoIntervention",16
72,5,1,"NoIntervention",11
73,5,1,"NoIntervention",14
1,6,1,"NoIntervention",1
2,6,1,"NoIntervention",2
3,6,1,"NoIntervention",0
4,6,1,"NoIntervention",1
5,6,1,"NoIntervention",1
6,6,1,"NoIntervention",3
7,6,1,"NoIntervention",4
8,6,1,"NoIntervention",1
9,6,1,"NoIntervention",1
10,6,1,"NoIntervention",3
11,6,1,"NoIntervention",2
12,6,1,"NoIntervention",4
13,6,1,"NoIntervention",2
14,6,1,"NoIntervention",1
15,6,1,"NoIntervention",9
16,6,1,"NoIntervention",7
17,6,1,"NoIntervention",11
18,6,1,"NoIntervention",19
19,6,1,"NoIntervention",18
20,6,1,"NoIntervention",17
21,6,1,"NoIntervention",26
22,6,1,"NoIntervention",30
23,6,1,"NoIntervention",27
24,6,1,"NoIntervention",33
25,6,1,"NoIntervention",27
26,6,1,"NoIntervention",33
27,6,1,"NoIntervention",29
28,6,1,"NoIntervention",22
29,6,1,"NoIntervention",27
30,6,1,"NoIntervention",13
31,6,1,"NoIntervention",18
32,6,1,"NoIntervention",10
33,6,1,"NoIntervention",6
34,6,1,"NoIntervention",7
35,6,1,"NoIntervention",4
36,6,1,"NoIntervention",4
37,6,1,"NoIntervention",1
38,6,1,"NoIntervention",3
39,6,1,"NoIntervention",0
40,6,1,"NoIntervention",1
41,6,1,"NoIntervention",0
42,6,1,"NoIntervention",1
43,6,1,"NoIntervention",1
44,6,1,"NoIntervention",0
45,6,1,"NoIntervention",0
46,6,1,"NoIntervention",1
47,6,1,"NoIntervention",1
48,6,1,"NoIntervention",0
49,6,1,"NoIntervention",2
50,6,1,"NoIntervention",0
51,6,1,"NoIntervention",0
52,6,1,"NoIntervention",0
53,6,1,"NoIntervention",0
54,6,1,"NoIntervention",0
55,6,1,"NoIntervention",0
56,6,1,"NoIntervention",0
57,6,1,"NoIntervention",0
58,6,1,"NoIntervention",0
59,6,1,"NoIntervention",0
60,6,1,"NoIntervention",0
61,6,1,"NoIntervention",0
62,6,1,"NoIntervention",0
63,6,1,"NoIntervention",0
64,6,1,"NoIntervention",0
65,6,1,"NoIntervention",0
66,6,1,"NoIntervention",0
67,6,1,"NoIntervention",0
68,6,1,"NoIntervention",0
69,6,1,"NoIntervention",1
70,6,1,"NoIntervention",0
71,6,1,"NoIntervention",0
72,6,1,"NoIntervention",0
73,6,1,"NoIntervention",2
1,7,1,"NoIntervention",0
2,7,1,"NoIntervention",0
3,7,1,"NoIntervention",1
4,7,1,"NoIntervention",0
5,7,1,"NoIntervention",1
6,7,1,"NoIntervention",0
7,7,1,"NoIntervention",1
8,7,1,"NoIntervention",2
9,7,1,"NoIntervention",2
10,7,1,"NoIntervention",1
11,7,1,"NoIntervention",3
12,7,1,"NoIntervention",3
13,7,1,"NoIntervention",5
14,7,1,"NoIntervention",4
15,7,1,"NoIntervention",10
16,7,1,"NoIntervention",9
17,7,1,"NoIntervention",11
18,7,1,"NoIntervention",20
19,7,1,"NoIntervention",18
20,7,1,"NoIntervention",21
21,7,1,"NoIntervention",25
22,7,1,"NoIntervention",19
23,7,1,"NoIntervention",20
24,7,1,"NoIntervention",26
25,7,1,"NoIntervention",24
26,7,1,"NoIntervention",31
27,7,1,"NoIntervention",28
28,7,1,"NoIntervention",27
29,7,1,"NoIntervention",22
30,7,1,"NoIntervention",27
31,7,1,"NoIntervention",22
32,7,1,"NoIntervention",36
33,7,1,"NoIntervention",26
34,7,1,"NoIntervention",23
35,7,1,"NoIntervention",23
36,7,1,"NoIntervention",23
37,7,1,"NoIntervention",31
38,7,1,"NoIntervention",23
39,7,1,"NoIntervention",21
40,7,1,"NoIntervention",11
41,7,1,"NoIntervention",23
42,7,1,"NoIntervention",21
43,7,1,"NoIntervention",23
44,7,1,"NoIntervention",20
45,7,1,"NoIntervention",23
46,7,1,"NoIntervention",18
47,7,1,"NoIntervention",15
48,7,1,"NoIntervention",15
49,7,1,"NoIntervention",20
50,7,1,"NoIntervention",18
51,7,1,"NoIntervention",16
52,7,1,"NoIntervention",8
53,7,1,"NoIntervention",14
54,7,1,"NoIntervention",9
55,7,1,"NoIntervention",9
56,7,1,"NoIntervention",3
57,7,1,"NoIntervention",1
58,7,1,"NoIntervention",2
59,7,1,"NoIntervention",3
60,7,1,"NoIntervention",1
61,7,1,"NoIntervention",1
62,7,1,"NoIntervention",3
63,7,1,"NoIntervention",0
64,7,1,"NoIntervention",0
65,7,1,"NoIntervention",0
66,7,1,"NoIntervention",0
67,7,1,"NoIntervention",1
68,7,1,"NoIntervention",0
69,7,1,"NoIntervention",0
70,7,1,"NoIntervention",0
71,7,1,"NoIntervention",0
72,7,1,"NoIntervention",0
73,7,1,"NoIntervention",0
1,8,1,"NoIntervention",0
2,8,1,"NoIntervention",1
3,8,1,"NoIntervention",1
4,8,1,"NoIntervention",0
5,8,1,"NoIntervention",4
6,8,1,"NoIntervention",2
7,8,1,"NoIntervention",1
8,8,1,"NoIntervention",3
9,8,1,"NoIntervention",3
10,8,1,"NoIntervention",2
11,8,1,"NoIntervention",5
12,8,1,"NoIntervention",2
13,8,1,"NoIntervention",1
14,8,1,"NoIntervention",7
15,8,1,"NoIntervention",8
16,8,1,"NoIntervention",8
17,8,1,"NoIntervention",13
18,8,1,"NoIntervention",8
19,8,1,"NoIntervention",12
20,8,1,"NoIntervention",14
21,8,1,"NoIntervention",12
22,8,1,"NoIntervention",23
23,8,1,"NoIntervention",21
24,8,1,"NoIntervention",24
25,8,1,"NoIntervention",23
26,8,1,"NoIntervention",21
27,8,1,"NoIntervention",24
28,8,1,"NoIntervention",28
29,8,1,"NoIntervention",34
30,8,1,"NoIntervention",34
31,8,1,"NoIntervention",36
32,8,1,"NoIntervention",33
33,8,1,"NoIntervention",37
34,8,1,"NoIntervention",35
35,8,1,"NoIntervention",35
36,8,1,"NoIntervention",35
37,8,1,"NoIntervention",24
38,8,1,"NoIntervention",23
39,8,1,"NoIntervention",17
40,8,1,"NoIntervention",10
41,8,1,"NoIntervention",8
42,8,1,"NoIntervention",9
43,8,1,"NoIntervention",5
44,8,1,"NoIntervention",4
45,8,1,"NoIntervention",3
46,8,1,"NoIntervention",2
47,8,1,"NoIntervention",0
48,8,1,"NoIntervention",4
49,8,1,"NoIntervention",0
50,8,1,"NoIntervention",0
51,8,1,"NoIntervention",0
52,8,1,"NoIntervention",0
53,8,1,"NoIntervention",1
54,8,1,"NoIntervention",1
55,8,1,"NoIntervention",0
56,8,1,"NoIntervention",0
57,8,1,"NoIntervention",0
58,8,1,"NoIntervention",0
59,8,1,"NoIntervention",1
60,8,1,"NoIntervention",0
61,8,1,"NoIntervention",0
62,8,1,"NoIntervention",0
63,8,1,"NoIntervention",0
64,8,1,"NoIntervention",0
65,8,1,"NoIntervention",0
66,8,1,"NoIntervention",0
67,8,1,"NoIntervention",0
68,8,1,"NoIntervention",0
69,8,1,"NoIntervention",0
70,8,1,"NoIntervention",0
71,8,1,"NoIntervention",0
72,8,1,"NoIntervention",0
73,8,1,"NoIntervention",0
1,9,1,"NoIntervention",2
2,9,1,"NoIntervention",1
3,9,1,"NoIntervention",2
4,9,1,"NoIntervention",2
5,9,1,"NoIntervention",1
6,9,1,"NoIntervention",0
7,9,1,"NoIntervention",3
8,9,1,"NoIntervention",4
9,9,1,"NoIntervention",5
10,9,1,"NoIntervention",7
11,9,1,"NoIntervention",7
12,9,1,"NoIntervention",5
13,9,1,"NoIntervention",6
14,9,1,"NoIntervention",5
15,9,1,"NoIntervention",16
16,9,1,"NoIntervention",9
17,9,1,"NoIntervention",18
18,9,1,"NoIntervention",15
19,9,1,"NoIntervention",17
20,9,1,"NoIntervention",18
21,9,1,"NoIntervention",8
22,9,1,"NoIntervention",11
23,9,1,"NoIntervention",16
24,9,1,"NoIntervention",9
25,9,1,"NoIntervention",6
